Hit,DB,Protein1,Protein2,Organism,Length,Score,Identities,Positives,E
15,swissprot,A0T0M0,Q0P3J4,Ostreococcus tauri,42,134.0,59.52,69.05,3.60489e-12
16,swissprot,A0T0M0,Q4G3B8,Emiliania huxleyi,40,134.0,62.50,72.50,3.9144e-12
17,swissprot,A0T0M0,P0A429,Thermosynechococcus vestitus BP-1,41,133.0,60.98,73.17,4.91596e-12
18,swissprot,A0T0M0,B2XTG4,Heterosigma akashiwo NIES-293,41,133.0,60.98,75.61,5.36767e-12
19,swissprot,A0T0M0,Q85V00,Larix decidua,44,132.0,59.09,68.18,7.41516e-12
20,swissprot,A0T0M0,Q9TKZ8,Nephroselmis olivacea,42,131.0,59.52,69.05,9.27446e-12
1,swissprot,A0T0M2,A0T0M2,Phaeodactylum tricornutum CCAP 1055/1,38,187.0,100.00,100.00,2.74634e-20
2,swissprot,A0T0M2,P49511,Trieres chinensis,38,176.0,92.11,94.74,1.23108e-18
3,swissprot,A0T0M2,A0T0U9,Thalassiosira pseudonana,38,173.0,89.47,94.74,3.16795e-18
4,swissprot,A0T0M2,P51236,Porphyra purpurea,38,161.0,78.95,89.47,2.01843e-16
5,swissprot,A0T0M2,Q4G3E7,Emiliania huxleyi,38,159.0,81.58,86.84,5.08099e-16
6,swissprot,A0T0M2,Q85FP4,Cyanidioschyzon merolae strain 10D,38,158.0,81.58,86.84,6.33008e-16
7,swissprot,A0T0M2,Q0P3J5,Ostreococcus tauri,38,157.0,81.58,86.84,1.01543e-15
8,swissprot,A0T0M2,B7JYE8,Rippkaea orientalis PCC 8801,38,154.0,78.95,84.21,2.393e-15
9,swissprot,A0T0M2,B1WYX8,Crocosphaera subtropica ATCC 51142,38,151.0,73.68,84.21,6.50552e-15
10,swissprot,A0T0M2,Q19V93,Chlorokybus atmophyticus,38,151.0,76.32,86.84,6.79789e-15
11,swissprot,A0T0M2,O19882,Cyanidium caldarium,38,150.0,73.68,81.58,9.34952e-15
12,swissprot,A0T0M2,O78471,Guillardia theta,38,150.0,76.32,84.21,9.34952e-15
13,swissprot,A0T0M2,B7KFR0,Gloeothece citriformis PCC 7424,38,150.0,71.05,84.21,1.19068e-14
14,swissprot,A0T0M2,Q9MUS1,Mesostigma viride,38,149.0,78.95,81.58,1.24419e-14
15,swissprot,A0T0M2,Q8M9Z9,Chaetosphaeridium globosum,37,147.0,75.68,86.49,2.94472e-14
16,swissprot,A0T0M2,P48106,Cyanophora paradoxa,38,147.0,73.68,86.84,3.49574e-14
17,swissprot,A0T0M2,Q32RP2,Zygnema circumcarinatum,36,146.0,77.78,88.89,3.64624e-14
18,swissprot,A0T0M2,A6MVW0,Rhodomonas salina,38,145.0,73.68,81.58,6.68557e-14
19,swissprot,A0T0M2,Q54697,Synechocystis sp. PCC 6803 substr. Kazusa,38,145.0,73.68,81.58,6.83414e-14
20,swissprot,A0T0M2,B1VKI2,Cryptomeria japonica,36,143.0,75.00,86.11,1.13098e-13
1,swissprot,A0T0M6,A0T0M6,Phaeodactylum tricornutum CCAP 1055/1,151,782.0,100.00,100.00,1.33399e-107
2,swissprot,A0T0M6,P49486,Trieres chinensis,150,612.0,86.67,94.00,1.0487e-81
3,swissprot,A0T0M6,A0T0U5,Thalassiosira pseudonana,148,603.0,87.16,96.62,2.1367e-80
4,swissprot,A0T0M6,P51222,Porphyra purpurea,153,475.0,58.82,78.43,7.38348e-61
5,swissprot,A0T0M6,Q1XDR5,Neopyropia yezoensis,153,466.0,56.86,77.78,1.58227e-59
6,swissprot,A0T0M6,Q6B8P4,Gracilaria tenuistipitata var. liui,150,451.0,54.67,78.00,3.27343e-57
7,swissprot,A0T0M6,O78469,Guillardia theta,152,450.0,57.24,71.71,4.3903e-57
8,swissprot,A0T0M6,Q85FP8,Cyanidioschyzon merolae strain 10D,140,449.0,59.29,77.86,5.23147e-57
9,swissprot,A0T0M6,Q5ENP6,Isochrysis galbana,145,414.0,57.24,73.10,1.11592e-51
10,swissprot,A0T0M6,B8HRF0,Cyanothece sp. PCC 7425,159,406.0,49.69,61.64,2.48917e-50
11,swissprot,A0T0M6,Q8DGB4,Thermosynechococcus vestitus BP-1,155,399.0,48.39,65.16,3.12754e-49
12,swissprot,A0T0M6,Q116L4,Trichodesmium erythraeum IMS101,161,395.0,45.34,63.98,1.44315e-48
13,swissprot,A0T0M6,P25902,Synechococcus elongatus,149,390.0,49.66,67.11,5.01664e-48
14,swissprot,A0T0M6,P37277,Synechocystis sp. PCC 6803 substr. Kazusa,157,371.0,45.22,60.51,5.01479e-45
15,swissprot,A0T0M6,Q9TM17,Cyanidium caldarium,152,366.0,50.66,69.08,2.44273e-44
16,swissprot,A0T0M6,B0JT88,Microcystis aeruginosa NIES-843,160,366.0,41.88,61.88,3.47304e-44
17,swissprot,A0T0M6,Q4G3B5,Emiliania huxleyi,145,353.0,57.93,73.79,1.97689e-42
18,swissprot,A0T0M6,Q54753,Synechococcus sp. PCC 7002,152,329.0,44.74,60.53,1.21977e-38
19,swissprot,A0T0M6,P95822,Synechococcus elongatus PCC 7942 = FACHB-805,166,307.0,42.77,55.42,3.27222e-35
20,swissprot,A0T0M6,B1WPZ7,Crocosphaera subtropica ATCC 51142,156,305.0,39.74,54.49,5.93128e-35
1,swissprot,A0T0M7,A0T0M7,Phaeodactylum tricornutum CCAP 1055/1,733,3871.0,100.00,100.00,0.0
2,swissprot,A0T0M7,A0T0M9,Thalassiosira pseudonana,733,3660.0,93.72,97.68,0.0
3,swissprot,A0T0M7,P49480,Trieres chinensis,733,3641.0,94.00,97.95,0.0
4,swissprot,A0T0M7,Q6B8U7,Gracilaria tenuistipitata var. liui,734,3380.0,83.51,93.87,0.0
5,swissprot,A0T0M7,P51285,Porphyra purpurea,734,3373.0,84.06,93.05,0.0
6,swissprot,A0T0M7,O78507,Guillardia theta,734,3356.0,84.60,92.10,0.0
7,swissprot,A0T0M7,Q1XDK3,Neopyropia yezoensis,734,3318.0,84.06,93.19,0.0
8,swissprot,A0T0M7,A6MVZ6,Rhodomonas salina,734,3318.0,83.11,91.55,0.0
9,swissprot,A0T0M7,Q4G3F5,Emiliania huxleyi,734,3315.0,83.92,92.64,0.0
10,swissprot,A0T0M7,Q85FY6,Cyanidioschyzon merolae strain 10D,732,3312.0,81.42,91.94,0.0
11,swissprot,A0T0M7,Q9MUR7,Mesostigma viride,734,3253.0,81.20,92.10,0.0
12,swissprot,A0T0M7,Q9TKW1,Nephroselmis olivacea,734,3240.0,80.25,91.01,0.0
13,swissprot,A0T0M7,Q19V90,Chlorokybus atmophyticus,734,3237.0,81.61,91.42,0.0
14,swissprot,A0T0M7,Q32RG9,Zygnema circumcarinatum,734,3234.0,80.25,90.87,0.0
15,swissprot,A0T0M7,P56342,Chlorella vulgaris,734,3225.0,80.11,90.60,0.0
16,swissprot,A0T0M7,Q8MFA2,Physcomitrium patens,734,3222.0,80.11,90.60,0.0
17,swissprot,A0T0M7,P06408,Marchantia polymorpha,734,3221.0,79.97,90.60,0.0
18,swissprot,A0T0M7,Q9TLQ6,Cyanidium caldarium,734,3204.0,80.38,91.14,0.0
19,swissprot,A0T0M7,P48113,Cyanophora paradoxa,737,3201.0,80.05,89.42,0.0
20,swissprot,A0T0M7,Q85AV8,Anthoceros angustus,734,3198.0,79.16,89.78,0.0
1,swissprot,B7FNU7,B7FNU7,Phaeodactylum tricornutum CCAP 1055/1,439,2347.0,100.00,100.00,0.0
2,swissprot,B7FNU7,C3XVT5,Branchiostoma floridae,406,930.0,47.29,66.50,1.0181e-121
3,swissprot,B7FNU7,B5X3C4,Salmo salar,410,927.0,46.59,65.85,3.62991e-121
4,swissprot,B7FNU7,Q9PTR5,Gallus gallus,410,926.0,47.07,67.80,5.08298e-121
5,swissprot,B7FNU7,Q7T394,Danio rerio,410,926.0,47.32,66.83,6.1137e-121
6,swissprot,B7FNU7,P43033,Bos taurus,410,924.0,46.83,67.80,9.43997e-121
7,swissprot,B7FNU7,P43034,Homo sapiens,410,923.0,47.07,67.80,1.45757e-120
8,swissprot,B7FNU7,B0LSW3,Felis catus,410,923.0,47.07,68.05,1.71545e-120
9,swissprot,B7FNU7,Q8HXX0,Macaca fascicularis,410,921.0,47.07,67.80,2.76626e-120
10,swissprot,B7FNU7,Q9GL51,Sus scrofa,410,920.0,46.83,67.80,5.13702e-120
11,swissprot,B7FNU7,Q5REG7,Pongo abelii,410,920.0,46.83,67.56,5.13702e-120
12,swissprot,B7FNU7,Q6NZH4,Xenopus tropicalis,410,919.0,46.59,67.80,6.52321e-120
13,swissprot,B7FNU7,Q4RJN5,Tetraodon nigroviridis,410,918.0,46.10,65.85,9.43626e-120
14,swissprot,B7FNU7,Q5IS43,Pan troglodytes,410,918.0,46.83,67.56,9.74871e-120
15,swissprot,B7FNU7,B5X3Z6,Salmo salar,410,916.0,46.10,65.61,1.81025e-119
16,swissprot,B7FNU7,Q90ZL4,Xenopus laevis,410,915.0,47.32,67.56,2.34914e-119
17,swissprot,B7FNU7,C4Q0P6,Schistosoma mansoni,417,914.0,47.48,65.23,4.21781e-119
18,swissprot,B7FNU7,Q803D2,Danio rerio,410,909.0,45.61,67.32,2.01598e-118
19,swissprot,B7FNU7,B3S4I5,Trichoplax adhaerens,409,885.0,44.74,65.77,7.78513e-115
20,swissprot,B7FNU7,A7S338,Nematostella vectensis,409,884.0,45.48,64.55,1.2015e-114
1,swissprot,B7FRE8,B7FRE8,Phaeodactylum tricornutum CCAP 1055/1,193,1039.0,100.00,100.00,2.07735e-145
2,swissprot,B7FRE8,B5YM03,Thalassiosira pseudonana,205,593.0,57.07,67.32,2.77291e-77
3,swissprot,B7FRE8,A9TND9,Physcomitrium patens,154,421.0,52.60,68.18,6.01976e-52
4,swissprot,B7FRE8,B9T3R0,Ricinus communis,164,408.0,48.17,64.63,9.13823e-50
5,swissprot,B7FRE8,B9HSR7,Populus trichocarpa,162,395.0,46.91,64.20,6.42464e-48
6,swissprot,B7FRE8,A2Z8F9,Oryza sativa Indica Group,168,391.0,44.05,61.90,2.98076e-47
7,swissprot,B7FRE8,B7FKW7,Medicago truncatula,165,391.0,47.27,62.42,3.34405e-47
8,swissprot,B7FRE8,A5BJL8,Vitis vinifera,164,390.0,46.34,62.80,3.94531e-47
9,swissprot,B7FRE8,C5WYI7,Sorghum bicolor,166,389.0,44.58,62.65,6.07387e-47
10,swissprot,B7FRE8,B6TTW1,Zea mays,166,388.0,46.39,60.84,7.80219e-47
11,swissprot,B7FRE8,O22683,Arabidopsis thaliana,168,374.0,43.45,59.52,1.23779e-44
12,swissprot,B7FRE8,C6SXE1,Glycine max,165,372.0,45.45,61.82,2.21899e-44
13,swissprot,B7FRE8,A1DIL2,Aspergillus fischeri NRRL 181,160,254.0,35.62,48.12,1.29093e-26
14,swissprot,B7FRE8,Q2UAX9,Aspergillus oryzae RIB40,160,252.0,35.00,46.88,2.35728e-26
15,swissprot,B7FRE8,Q885A6,Pseudomonas syringae pv. tomato str. DC3000,155,251.0,36.77,58.06,2.91038e-26
16,swissprot,B7FRE8,A6W1Q1,Marinomonas sp. MWYL1,146,250.0,36.30,56.16,3.22131e-26
17,swissprot,B7FRE8,A2R692,Aspergillus niger CBS 513.88,160,249.0,35.00,47.50,5.691e-26
18,swissprot,B7FRE8,Q4ZQQ7,Pseudomonas syringae pv. syringae B728a,155,248.0,36.77,56.77,7.57883e-26
19,swissprot,B7FRE8,Q48GB5,Pseudomonas savastanoi pv. phaseolicola 1448A,155,248.0,34.19,52.26,8.43902e-26
20,swissprot,B7FRE8,C5BUK2,Teredinibacter turnerae T7901,146,246.0,35.62,54.11,1.06392e-25
1,swissprot,B7FRU7,B7FRU7,Phaeodactylum tricornutum CCAP 1055/1,401,2157.0,100.00,100.00,0.0
2,swissprot,B7FRU7,C7Z527,Fusarium vanettenii 77-13-4,412,1084.0,52.91,67.48,2.03731e-145
3,swissprot,B7FRU7,B2AT43,Podospora anserina S mat+,426,1064.0,46.71,57.28,3.31826e-142
4,swissprot,B7FRU7,D0NP70,Phytophthora infestans T30-4,383,1054.0,54.57,68.67,2.67053e-141
5,swissprot,B7FRU7,B4IAA7,Drosophila sechellia,377,1050.0,53.32,67.37,9.07649e-141
6,swissprot,B7FRU7,Q7JQW6,Drosophila melanogaster,377,1049.0,53.32,67.37,1.30089e-140
7,swissprot,B7FRU7,Q7SF84,Neurospora crassa OR74A,430,1053.0,46.28,58.84,1.9177e-140
8,swissprot,B7FRU7,C4JE77,Uncinocarpus reesii 1704,417,1051.0,45.80,57.07,1.98115e-140
9,swissprot,B7FRU7,D1Z4I6,Sordaria macrospora k-hell,445,1052.0,44.72,56.85,3.60174e-140
10,swissprot,B7FRU7,B4PF83,Drosophila yakuba,379,1045.0,52.77,67.02,4.47529e-140
11,swissprot,B7FRU7,B4IUG3,Drosophila yakuba,379,1045.0,52.77,67.02,4.57398e-140
12,swissprot,B7FRU7,B0WAU6,Culex quinquefasciatus,380,1042.0,53.42,66.58,1.55387e-139
13,swissprot,B7FRU7,B3NIL9,Drosophila erecta,379,1041.0,52.51,66.23,2.40013e-139
14,swissprot,B7FRU7,B3M996,Drosophila ananassae,376,1039.0,52.66,67.82,3.65623e-139
15,swissprot,B7FRU7,Q6PHG4,Danio rerio,399,1041.0,47.87,56.64,4.29598e-139
16,swissprot,B7FRU7,Q5XIH4,Rattus norvegicus,373,1038.0,51.47,62.47,4.99379e-139
17,swissprot,B7FRU7,Q5BIP7,Bos taurus,372,1036.0,50.54,62.10,7.79777e-139
18,swissprot,B7FRU7,Q16W22,Aedes aegypti,393,1038.0,48.35,58.52,1.06576e-138
19,swissprot,B7FRU7,Q99M04,Mus musculus,373,1035.0,51.47,62.47,1.19497e-138
20,swissprot,B7FRU7,Q5AQE4,Aspergillus nidulans FGSC A4,413,1038.0,46.49,57.63,1.56005e-138
1,swissprot,B7FSL4,B7FSL4,Phaeodactylum tricornutum CCAP 1055/1,882,4677.0,100.00,100.00,0.0
2,swissprot,B7FSL4,Q00WL5,Ostreococcus tauri,920,2042.0,47.07,61.63,0.0
3,swissprot,B7FSL4,A4S6Y4,Ostreococcus lucimarinus CCE9901,936,1993.0,45.09,60.47,0.0
4,swissprot,B7FSL4,P93655,Arabidopsis thaliana,940,1987.0,44.15,60.21,0.0
5,swissprot,B7FSL4,Q8CGK3,Mus musculus,949,1981.0,42.89,60.80,0.0
6,swissprot,B7FSL4,Q7KUT2,Drosophila melanogaster,1024,1966.0,37.50,51.17,0.0
7,swissprot,B7FSL4,Q924S5,Rattus norvegicus,950,1965.0,42.95,60.95,0.0
8,swissprot,B7FSL4,Q59HJ6,Bos taurus,961,1958.0,42.77,59.83,0.0
9,swissprot,B7FSL4,P36776,Homo sapiens,959,1945.0,41.71,59.75,0.0
10,swissprot,B7FSL4,Q9M9L7,Arabidopsis thaliana,942,1887.0,43.42,59.55,0.0
11,swissprot,B7FSL4,A2QCJ2,Aspergillus niger CBS 513.88,1113,1883.0,35.85,51.21,0.0
12,swissprot,B7FSL4,Q9PK50,Chlamydia muridarum str. Nigg,819,1879.0,45.91,66.06,0.0
13,swissprot,B7FSL4,Q4X0Z7,Aspergillus fumigatus Af293,1108,1876.0,36.37,51.17,0.0
14,swissprot,B7FSL4,O84348,Chlamydia trachomatis D/UW-3/CX,819,1875.0,45.79,65.93,0.0
15,swissprot,B7FSL4,Q5AZT7,Aspergillus nidulans FGSC A4,1104,1869.0,35.51,51.00,0.0
16,swissprot,B7FSL4,Q6ME13,Candidatus Protochlamydia amoebophila UWE25,835,1866.0,45.39,64.91,0.0
17,swissprot,B7FSL4,Q3A701,Syntrophotalea carbinolica DSM 2380,814,1861.0,46.56,67.81,0.0
18,swissprot,B7FSL4,Q9Z9F4,Chlamydia pneumoniae,819,1829.0,46.40,65.69,0.0
19,swissprot,B7FSL4,A8XFM8,Caenorhabditis briggsae,960,1813.0,37.92,52.71,0.0
20,swissprot,B7FSL4,O44952,Caenorhabditis elegans,971,1808.0,37.80,51.60,0.0
1,swissprot,B7FTW3,B7FTW3,GM37,436,2354.0,100.00,100.00,0.0
2,swissprot,B7FTW3,B8BQY5,GM37,480,854.0,42.71,52.71,2.93237e-109
3,swissprot,B7FTW3,D0NLC2,GM37,411,655.0,39.17,55.96,2.2225e-80
4,swissprot,B7FTW3,F4NUJ6,GM37,475,646.0,33.26,48.63,3.43529e-78
5,swissprot,B7FTW3,F6VSS6,GM37,494,644.0,34.01,46.56,1.24324e-77
6,swissprot,B7FTW3,Q3MHN8,GM37,497,641.0,31.19,46.88,3.54247e-77
7,swissprot,B7FTW3,F7GSQ4,GM37,509,629.0,29.86,44.99,2.51672e-75
8,swissprot,B7FTW3,Q95KJ2,GM37,509,629.0,29.86,44.99,3.01535e-75
9,swissprot,B7FTW3,Q9D0C4,GM37,501,619.0,33.13,48.30,5.80738e-74
10,swissprot,B7FTW3,Q8TFG7,GM37,450,613.0,36.22,50.22,1.54634e-73
11,swissprot,B7FTW3,Q32P41,GM37,509,611.0,29.47,44.79,1.01739e-72
12,swissprot,B7FTW3,Q54WD6,GM37,460,604.0,28.70,47.39,4.01136e-72
13,swissprot,B7FTW3,F7A355,GM37,456,598.0,35.96,49.12,3.00852e-71
14,swissprot,B7FTW3,B8A5G9,GM37,480,592.0,31.88,46.67,3.99157e-70
15,swissprot,B7FTW3,A8N339,GM37,457,571.0,34.57,47.92,2.93418e-67
16,swissprot,B7FTW3,P38793,GM37,499,543.0,28.86,39.48,8.91708e-63
17,swissprot,B7FTW3,D3BT31,GM37,426,536.0,30.99,47.65,1.49769e-62
18,swissprot,B7FTW3,C7YK87,GM37,465,531.0,28.82,40.22,2.30385e-61
19,swissprot,B7FTW3,F6H2F8,GM37,608,536.0,23.52,32.07,8.09076e-61
20,swissprot,B7FTW3,Q8IRE4,GM37,457,521.0,33.04,48.14,6.45077e-60
1,swissprot,B7FUM7,B7FUM7,Phaeodactylum tricornutum CCAP 1055/1,526,2805.0,100.00,100.00,0.0
2,swissprot,B7FUM7,D0NVH9,Phytophthora infestans T30-4,551,1574.0,53.90,67.15,0.0
3,swissprot,B7FUM7,A4RYD2,Ostreococcus lucimarinus CCE9901,428,1242.0,53.27,70.33,4.07167e-167
4,swissprot,B7FUM7,Q017T9,Ostreococcus tauri,480,1243.0,48.75,65.42,1.34179e-166
5,swissprot,B7FUM7,A5DIP4,Meyerozyma guilliermondii ATCC 6260,426,1226.0,53.99,70.19,8.26469e-165
6,swissprot,B7FUM7,B0DQB9,Laccaria bicolor S238N-H82,428,1225.0,53.27,70.79,1.43079e-164
7,swissprot,B7FUM7,A8NDT2,Coprinopsis cinerea okayama7#130,428,1224.0,54.67,70.56,1.94113e-164
8,swissprot,B7FUM7,Q6FMU9,[Candida,432,1221.0,53.47,71.53,5.50752e-164
9,swissprot,B7FUM7,A5DSZ3,Lodderomyces elongisporus NRRL YB-4239,428,1219.0,53.04,69.86,1.21029e-163
10,swissprot,B7FUM7,Q4P7R2,Ustilago maydis 521,439,1219.0,52.62,68.56,1.64073e-163
11,swissprot,B7FUM7,Q6CQ65,Kluyveromyces lactis NRRL Y-1140,432,1214.0,53.94,70.60,6.24992e-163
12,swissprot,B7FUM7,C4R8E8,Komagataella phaffii GS115,428,1211.0,52.34,69.86,1.65295e-162
13,swissprot,B7FUM7,A6ZRM0,Saccharomyces cerevisiae YJM789,433,1211.0,53.35,70.44,1.80105e-162
14,swissprot,B7FUM7,C5MBF2,Candida tropicalis MYA-3404,428,1210.0,53.50,70.09,2.14679e-162
15,swissprot,B7FUM7,C7GPD7,Saccharomyces cerevisiae JAY291,433,1211.0,53.35,70.44,2.36469e-162
16,swissprot,B7FUM7,A9TIK2,Physcomitrium patens,514,1214.0,44.36,57.98,1.13093e-161
17,swissprot,B7FUM7,A8Q0E3,Malassezia globosa CBS 7966,445,1206.0,49.44,66.97,1.50514e-161
18,swissprot,B7FUM7,P0CQ34,Cryptococcus neoformans var. neoformans JEC21,430,1205.0,52.56,69.07,1.63399e-161
19,swissprot,B7FUM7,B3LP64,Saccharomyces cerevisiae RM11-1a,433,1203.0,53.12,70.21,3.22777e-161
20,swissprot,B7FUM7,A3LYS9,Scheffersomyces stipitis CBS 6054,430,1203.0,52.56,69.53,3.50211e-161
1,swissprot,B7FX91,B7FX91,Phaeodactylum tricornutum CCAP 1055/1,468,2467.0,100.00,100.00,0.0
2,swissprot,B7FX91,P18289,Drosophila melanogaster,289,98.0,7.96,12.46,0.00497768
3,swissprot,B7FX91,Q501B2,Arabidopsis thaliana,409,97.0,5.87,9.54,0.00932644
4,swissprot,B7FX91,P27921,Gallus gallus,323,95.0,8.36,11.15,0.0138536
5,swissprot,B7FX91,A7YY54,Bos taurus,347,92.0,6.92,9.22,0.0295235
6,swissprot,B7FX91,P17535,Homo sapiens,347,92.0,6.92,9.22,0.0316731
7,swissprot,B7FX91,P52909,Rattus norvegicus,341,92.0,7.04,9.38,0.032424
8,swissprot,B7FX91,P15066,Mus musculus,341,92.0,7.04,9.38,0.032424
9,swissprot,B7FX91,Q5R9C9,Pongo abelii,483,92.0,4.14,6.00,0.0385813
10,swissprot,B7FX91,O35426,Mus musculus,267,85.0,13.11,19.85,0.199424
11,swissprot,B7FX91,Q9NR55,Homo sapiens,127,78.0,14.96,25.98,0.461866
12,swissprot,B7FX91,Q16520,Homo sapiens,125,77.0,17.60,29.60,0.569276
13,swissprot,B7FX91,P16951,Mus musculus,487,81.0,3.49,5.34,0.689364
14,swissprot,B7FX91,P15336,Homo sapiens,505,81.0,3.37,5.15,0.697434
15,swissprot,B7FX91,Q00969,Rattus norvegicus,487,81.0,3.49,5.34,0.707521
16,swissprot,B7FX91,O93602,Gallus gallus,487,81.0,3.49,5.34,0.726155
17,swissprot,B7FX91,E1BD44,Bos taurus,125,75.0,16.80,29.60,1.30865
18,swissprot,B7FX91,D4A7E1,Rattus norvegicus,125,74.0,16.80,29.60,1.38591
19,swissprot,B7FX91,P42774,Arabidopsis thaliana,315,78.0,7.94,12.70,1.54109
20,swissprot,B7FX91,Q54RZ9,Dictyostelium discoideum,372,73.0,5.38,10.22,7.06305
1,swissprot,B7FXE8,B7FXE8,Phaeodactylum tricornutum CCAP 1055/1,310,1640.0,100.00,100.00,0.0
2,swissprot,B7FXE8,A7RRZ8,Nematostella vectensis,358,541.0,33.80,50.00,1.20515e-65
3,swissprot,B7FXE8,A8N8Z0,Coprinopsis cinerea okayama7#130,336,523.0,39.58,55.65,3.43249e-63
4,swissprot,B7FXE8,D4AAT7,Rattus norvegicus,343,516.0,34.11,51.02,4.5952e-62
5,swissprot,B7FXE8,Q8IW45,Homo sapiens,347,511.0,31.99,53.03,2.62829e-61
6,swissprot,B7FXE8,Q9CZ42,Mus musculus,343,505.0,32.07,51.02,1.89471e-60
7,swissprot,B7FXE8,E2QUI9,Canis lupus familiaris,347,502.0,31.12,50.14,5.43586e-60
8,swissprot,B7FXE8,Q5R824,Pongo abelii,329,496.0,33.13,55.02,2.9113e-59
9,swissprot,B7FXE8,O94347,Schizosaccharomyces pombe 972h-,327,491.0,35.47,53.82,1.45724e-58
10,swissprot,B7FXE8,Q94AF2,Arabidopsis thaliana,365,494.0,30.96,49.59,1.57094e-58
11,swissprot,B7FXE8,E3XDZ8,Anopheles darlingi,295,488.0,37.97,58.31,1.66644e-58
12,swissprot,B7FXE8,F1Q575,Danio rerio,330,489.0,32.73,54.24,3.07976e-58
13,swissprot,B7FXE8,F6RCC2,Ciona intestinalis,359,487.0,31.48,46.80,1.37241e-57
14,swissprot,B7FXE8,E1BNQ4,Bos taurus,329,485.0,34.04,53.19,1.45272e-57
15,swissprot,B7FXE8,Q17NP0,Aedes aegypti,332,481.0,33.73,53.01,6.3601e-57
16,swissprot,B7FXE8,Q7SHU9,Neurospora crassa OR74A,353,481.0,34.28,49.86,8.41588e-57
17,swissprot,B7FXE8,C7YKN8,Fusarium vanettenii 77-13-4,349,480.0,34.38,49.00,1.1629e-56
18,swissprot,B7FXE8,E3L9T1,Puccinia graminis f. sp. tritici CRL 75-36-700-3,346,476.0,32.95,52.02,4.46614e-56
19,swissprot,B7FXE8,F6HDM2,Vitis vinifera,354,475.0,31.64,51.69,8.62928e-56
20,swissprot,B7FXE8,C5Y210,Sorghum bicolor,381,475.0,27.82,45.14,1.49074e-55
1,swissprot,B7FXW1,B7FXW1,Phaeodactylum tricornutum CCAP 1055/1,348,1873.0,100.00,100.00,0.0
2,swissprot,B7FXW1,Q4WB51,Aspergillus fumigatus Af293,320,142.0,13.12,20.31,9.64193e-09
3,swissprot,B7FXW1,A0A0E0SNE8,Fusarium graminearum PH-1,323,132.0,14.86,21.67,1.73579e-07
4,swissprot,B7FXW1,Q4WIX5,Aspergillus fumigatus Af293,335,121.0,10.45,16.42,4.285e-06
5,swissprot,B7FXW1,P32353,Saccharomyces cerevisiae S288C,365,122.0,10.96,17.26,4.54512e-06
6,swissprot,B7FXW1,Q7SBB6,Neurospora crassa OR74A,344,119.0,10.76,17.44,9.53696e-06
7,swissprot,B7FXW1,Q754B9,Eremothecium gossypii ATCC 10895,351,115.0,17.38,29.63,3.25666e-05
8,swissprot,B7FXW1,Q8J207,Leptosphaeria maculans,356,113.0,9.83,15.73,4.97365e-05
9,swissprot,B7FXW1,Q4WDL3,Aspergillus fumigatus Af293,352,111.0,10.51,15.06,7.83815e-05
10,swissprot,B7FXW1,O75845,Homo sapiens,299,109.0,14.38,19.06,0.000119751
11,swissprot,B7FXW1,P50860,[Candida,364,110.0,10.44,17.03,0.000122492
12,swissprot,B7FXW1,I1S1Q3,Fusarium graminearum PH-1,246,108.0,15.45,25.20,0.000130252
13,swissprot,B7FXW1,O88822,Mus musculus,299,109.0,24.41,37.79,0.00013831
14,swissprot,B7FXW1,Q9EQS5,Rattus norvegicus,299,109.0,23.75,38.46,0.000139561
15,swissprot,B7FXW1,O93875,Candida albicans,386,109.0,9.33,15.03,0.000170005
16,swissprot,B7FXW1,Q9ZT29,Nicotiana tabacum,271,108.0,15.50,24.35,0.000174741
17,swissprot,B7FXW1,Q59VG6,Candida albicans SC5314,386,109.0,9.33,15.03,0.000180917
18,swissprot,B7FXW1,Q8NJ57,Candida dubliniensis CD36,386,107.0,9.33,14.77,0.000287143
19,swissprot,B7FXW1,P53045,Saccharomyces cerevisiae S288C,309,106.0,14.89,21.04,0.000307345
20,swissprot,B7FXW1,I1RFM2,Fusarium graminearum PH-1,349,103.0,11.17,14.33,0.000856796
1,swissprot,B7G267,B7G267,Phaeodactylum tricornutum CCAP 1055/1,306,1610.0,100.00,100.00,0.0
2,swissprot,B7G267,B8C4D7,Thalassiosira pseudonana,275,313.0,31.27,42.55,8.02324e-33
3,swissprot,B7G267,B4Q5Z1,Drosophila simulans,248,224.0,31.05,43.15,3.11537e-20
4,swissprot,B7G267,B4HXL7,Drosophila sechellia,248,221.0,30.65,43.15,7.92884e-20
5,swissprot,B7G267,Q9V3Y2,Drosophila melanogaster,248,218.0,30.65,43.15,1.91499e-19
6,swissprot,B7G267,B4NYT3,Drosophila yakuba,248,217.0,29.84,42.34,2.36865e-19
7,swissprot,B7G267,B3N5N3,Drosophila erecta,248,214.0,29.84,42.34,8.04862e-19
8,swissprot,B7G267,B4GK79,Drosophila persimilis,247,211.0,29.55,43.72,1.98035e-18
9,swissprot,B7G267,Q6FI81,Homo sapiens,312,214.0,16.03,18.27,2.19407e-18
10,swissprot,B7G267,O15692,Dictyostelium discoideum,256,209.0,27.34,44.14,4.34935e-18
11,swissprot,B7G267,B9RBT0,Ricinus communis,274,209.0,26.28,39.78,6.13545e-18
12,swissprot,B7G267,Q5EAC7,Bos taurus,310,208.0,16.45,19.35,1.17026e-17
13,swissprot,B7G267,B4KLC0,Drosophila mojavensis,248,204.0,29.84,43.55,1.61417e-17
